t,E_dc,I,C_l,C_r
0,-10,0.201641,inf,0.0118628
0.08,-9.92,0.0157553,inf,0.0128436
0.16,-9.84,0.0127702,inf,0.0139049
0.24,-9.76,0.0119533,inf,0.0150532
0.32,-9.68,0.011882,inf,0.0162954
0.4,-9.6,0.0121503,inf,0.0176391
0.48,-9.52,0.0126223,inf,0.0190924
0.56,-9.44,0.0132452,inf,0.020664
0.64,-9.36,0.0139952,inf,0.0223633
0.72,-9.28,0.014861,inf,0.0242005
0.8,-9.2,0.0158377,inf,0.0261863
0.88,-9.12,0.0169246,inf,0.0283324
0.96,-9.04,0.018123,inf,0.0306513
1.04,-8.96,0.0194365,inf,0.0331564
1.12,-8.88,0.0208699,inf,0.0358621
1.2,-8.8,0.0224291,inf,0.0387835
1.28,-8.72,0.0241212,inf,0.0419373
1.36,-8.64,0.0259539,inf,0.0453408
1.44,-8.56,0.0279357,inf,0.0490126
1.52,-8.48,0.030076,inf,0.0529728
1.6,-8.4,0.0323846,inf,0.0572422
1.68,-8.32,0.0348722,inf,0.0618434
1.76,-8.24,0.0375498,inf,0.0668
1.84,-8.16,0.0404292,inf,0.0721372
1.92,-8.08,0.0435225,inf,0.0778813
2,-8,0.0468426,inf,0.0840602
2.08,-7.92,0.0504024,inf,0.090703
2.16,-7.84,0.0542153,inf,0.0978404
2.24,-7.76,0.0582951,inf,0.105504
2.32,-7.68,0.0626556,inf,0.113728
2.4,-7.6,0.0673106,inf,0.122545
2.48,-7.52,0.0722739,inf,0.131991
2.56,-7.44,0.0775589,inf,0.142103
2.64,-7.36,0.0831786,inf,0.152917
2.72,-7.28,0.0891454,inf,0.164471
2.8,-7.2,0.0954707,inf,0.176803
2.88,-7.12,0.102165,inf,0.18995
2.96,-7.04,0.109237,inf,0.20395
3.04,-6.96,0.116693,inf,0.21884
3.12,-6.88,0.124539,inf,0.234653
3.2,-6.8,0.132778,inf,0.251424
3.28,-6.72,0.141408,inf,0.269185
3.36,-6.64,0.150427,inf,0.287962
3.44,-6.56,0.159828,inf,0.307781
3.52,-6.48,0.1696,inf,0.328662
3.6,-6.4,0.179729,inf,0.35062
3.68,-6.32,0.190195,inf,0.373666
3.76,-6.24,0.200975,inf,0.397802
3.84,-6.16,0.212039,inf,0.423027
3.92,-6.08,0.223355,inf,0.449328
4,-6,0.234884,inf,0.476686
4.08,-5.92,0.246583,inf,0.505075
4.16,-5.84,0.258405,inf,0.534456
4.24,-5.76,0.270297,inf,0.564786
4.32,-5.68,0.282205,inf,0.596008
4.4,-5.6,0.294071,inf,0.628058
4.48,-5.52,0.305832,inf,0.660863
4.56,-5.44,0.317428,inf,0.694343
4.64,-5.36,0.328795,inf,0.728407
4.72,-5.28,0.33987,inf,0.762959
4.8,-5.2,0.350592,inf,0.797898
4.88,-5.12,0.360901,inf,0.833117
4.96,-5.04,0.370743,inf,0.868505
5.04,-4.96,0.380064,inf,0.903949
5.12,-4.88,0.388818,inf,0.939337
5.2,-4.8,0.396964,inf,0.974555
5.28,-4.72,0.404466,inf,1.00949
5.36,-4.64,0.411297,inf,1.04405
5.44,-4.56,0.417435,inf,1.07811
5.52,-4.48,0.422867,inf,1.11159
5.6,-4.4,0.427585,inf,1.1444
5.68,-4.32,0.431589,inf,1.17645
5.76,-4.24,0.434885,inf,1.20767
5.84,-4.16,0.437486,inf,1.238
5.92,-4.08,0.439411,inf,1.26738
6,-4,0.440682,inf,1.29577
6.08,-3.92,0.441327,inf,1.32313
6.16,-3.84,0.441376,inf,1.34943
6.24,-3.76,0.440864,inf,1.37465
6.32,-3.68,0.439827,inf,1.39879
6.4,-3.6,0.438303,inf,1.42183
6.48,-3.52,0.436329,inf,1.44379
6.56,-3.44,0.433946,inf,1.46467
6.64,-3.36,0.431191,inf,1.48449
6.72,-3.28,0.428103,inf,1.50327
6.8,-3.2,0.42472,inf,1.52103
6.88,-3.12,0.421076,inf,1.5378
6.96,-3.04,0.417207,inf,1.55361
7.04,-2.96,0.413144,inf,1.5685
7.12,-2.88,0.408919,inf,1.5825
7.2,-2.8,0.40456,inf,1.59565
7.28,-2.72,0.400093,inf,1.60798
7.36,-2.64,0.395543,inf,1.61954
7.44,-2.56,0.390932,inf,1.63035
7.52,-2.48,0.386281,inf,1.64046
7.6,-2.4,0.381609,inf,1.64991
7.68,-2.32,0.37693,inf,1.65873
7.76,-2.24,0.372261,inf,1.66695
7.84,-2.16,0.367615,inf,1.67461
7.92,-2.08,0.363002,inf,1.68175
8,-2,0.358434,inf,1.68839
8.08,-1.92,0.353918,inf,1.69457
8.16,-1.84,0.349462,inf,1.70032
8.24,-1.76,0.345072,inf,1.70565
8.32,-1.68,0.340755,inf,1.71061
8.4,-1.6,0.336513,inf,1.71521
8.48,-1.52,0.33235,inf,1.71948
8.56,-1.44,0.32827,inf,1.72344
8.64,-1.36,0.324274,inf,1.72711
8.72,-1.28,0.320363,inf,1.73052
8.8,-1.2,0.316539,inf,1.73367
8.88,-1.12,0.312802,inf,1.73659
8.96,-1.04,0.309152,inf,1.7393
9.04,-0.96,0.305589,inf,1.7418
9.12,-0.88,0.302111,inf,1.74412
9.2,-0.8,0.298719,inf,1.74627
9.28,-0.72,0.295411,inf,1.74825
9.36,-0.64,0.292186,inf,1.75009
9.44,-0.56,0.289042,inf,1.75179
9.52,-0.48,0.285977,inf,1.75336
9.6,-0.4,0.282991,inf,1.75481
9.68,-0.32,0.280081,inf,1.75616
9.76,-0.24,0.277245,inf,1.7574
9.84,-0.16,0.274482,inf,1.75855
9.92,-0.08,0.271789,inf,1.75961
10,1.63425e-13,0.269166,inf,1.76059
10.08,0.08,0.266608,inf,1.7615
10.16,0.16,0.264116,inf,1.76234
10.24,0.24,0.261687,inf,1.76311
10.32,0.32,0.259319,inf,1.76382
10.4,0.4,0.25701,inf,1.76448
10.48,0.48,0.254758,inf,1.76509
10.56,0.56,0.252562,inf,1.76566
10.64,0.64,0.250419,inf,1.76618
10.72,0.72,0.248329,inf,1.76666
